"Instance","Blocking","Lower_Bound","Upper_Bound","Gap","Trivial_Instance","Opt_Solved","Timed_Out","Memory_Out","Opt_Value","Num_Variables","Num_Constraints","Solving_Time","Nodes_Iterations","UB_Opt","LP_Relax","LP_Diff_Blocking","LP_Diff_LB"
"Average",16.8,20.05,24.249999999999993,4.2,"2","37","1","0",21.974358974358974,12105.0,145421.56756756757,68.02535135135136,77.54054054054055,"7","19.05225827027027","1.6738798918918916","-1.704498486486486"
"1",18.0,22.0,31.0,9.0,"false","false","true","false",NA,12105.0,144412.0,NA,NA,"false","19.614536","1.614536000000001","-2.385463999999999"
"2",13.0,16.0,18.0,2.0,"false","true","false","false",16.0,12105.0,146346.0,1.91,0.0,"false","14.350224","1.3502240000000008","-1.6497759999999992"
"3",18.0,21.0,26.0,5.0,"false","true","false","false",24.0,12105.0,145341.0,11.405,0.0,"false","19.535714","1.5357139999999987","-1.4642860000000013"
"4",16.0,20.0,25.0,5.0,"false","true","false","false",24.0,12105.0,144780.0,16.315,0.0,"false","18.465442","2.4654419999999995","-1.5345580000000005"
"5",18.0,20.0,27.0,7.0,"false","true","false","false",23.0,12105.0,144917.0,5.11,0.0,"false","19.828863","1.8288629999999984","-0.17113700000000165"
"6",14.0,16.0,18.0,2.0,"false","true","false","false",17.0,12105.0,147322.0,1.045,0.0,"false","15.151081","1.1510809999999996","-0.8489190000000004"
"7",16.0,17.0,20.0,3.0,"false","true","false","false",20.0,12105.0,145908.0,70.97,903.0,"true","16.553672","0.5536719999999988","-0.44632800000000117"
"8",14.0,18.0,18.0,0.0,"true",NA,NA,NA,18.0,NA,NA,NA,NA,"true",NA,NA,NA
"9",17.0,20.0,27.0,7.0,"false","true","false","false",25.0,12105.0,144925.0,591.151,493.0,"false","19.510005","2.5100049999999996","-0.4899950000000004"
"10",15.0,20.0,23.0,3.0,"false","true","false","false",21.0,12105.0,145263.0,8.736,0.0,"false","17.461991","2.461991000000001","-2.538008999999999"
"11",15.0,16.0,19.0,3.0,"false","true","false","false",19.0,12105.0,146957.0,4.311,0.0,"true","15.933121","0.9331209999999999","-0.06687900000000013"
"12",18.0,20.0,25.0,5.0,"false","true","false","false",22.0,12105.0,145944.0,15.153,0.0,"false","19.097619","1.0976190000000017","-0.9023809999999983"
