"Instance","Blocking","Lower_Bound","Upper_Bound","Gap","Trivial_Instance","Opt_Solved","Timed_Out","Memory_Out","Opt_Value","Num_Variables","Num_Constraints","Solving_Time","Nodes_Iterations","UB_Opt","LP_Relax","LP_Diff_Blocking","LP_Diff_LB"
"Average",22.199999999999996,25.6,29.6,3.999999999999999,"4","29","7","0",27.242424242424242,28343.0,431277.6206896552,590.2073103448275,18.17241379310345,"13","29.449720689655177","1.725582758620689","-2.3433827586206903"
"1",23.0,25.0,25.0,0.0,"true",NA,NA,NA,25.0,NA,NA,NA,NA,"true",NA,NA,NA
"2",19.0,21.0,23.0,2.0,"false","true","false","false",23.0,28343.0,434234.0,8.125,0.0,"true","20.254592","1.2545919999999988","-0.7454080000000012"
"3",24.0,25.0,29.0,4.0,"false","true","false","false",27.0,28343.0,430347.0,194.945,0.0,"false","24.662322","0.6623219999999996","-0.33767800000000037"
"4",22.0,25.0,28.0,3.0,"false","true","false","false",27.0,28343.0,430233.0,2558.232,276.0,"false","23.178571","1.1785710000000016","-1.8214289999999984"
"5",25.0,29.0,35.0,6.0,"false","false","true","false",NA,28343.0,427782.0,NA,NA,"false","26.74534","1.7453399999999988","-2.254660000000001"
"6",24.0,28.0,30.0,2.0,"false","true","false","false",30.0,28343.0,428563.0,2065.297,0.0,"true","25.34253","1.34253","-2.65747"
"7",22.0,26.0,28.0,2.0,"false","true","false","false",28.0,28343.0,432537.0,36.907,0.0,"true","23.395818","1.3958179999999984","-2.6041820000000016"
"8",21.0,23.0,28.0,5.0,"false","true","false","false",25.0,28343.0,431302.0,120.55,0.0,"false","22.236954","1.2369540000000008","-0.7630459999999992"
"9",24.0,27.0,31.0,4.0,"false","true","false","false",30.0,28343.0,431237.0,986.142,0.0,"false","25.745527","1.7455269999999992","-1.2544730000000008"
"10",23.0,25.0,33.0,8.0,"false","false","true","false",NA,28343.0,429522.0,NA,NA,"false","23.871093","0.8710929999999983","-1.1289070000000017"
"11",25.0,29.0,35.0,6.0,"false","true","false","false",33.0,28343.0,427780.0,1880.622,0.0,"false","26.646577","1.6465770000000006","-2.3534229999999994"
