"Instance","Blocking","Lower_Bound","Upper_Bound","Gap","Trivial_Instance","Opt_Solved","Timed_Out","Memory_Out","Opt_Value","Num_Variables","Num_Constraints","Solving_Time","Nodes_Iterations","UB_Opt","LP_Relax","LP_Diff_Blocking","LP_Diff_LB"
"Average",10.175000000000004,12.149999999999999,13.549999999999999,1.4000000000000001,"11","29","0","0",12.95,3844.0,37413.03448275862,0.4508275862068965,0.0,"25","11.539431172413792","1.056672551724138","-0.943327448275862"
"1",11.0,15.0,16.0,1.0,"false","true","false","false",16.0,3844.0,37219.0,0.543,0.0,"true","13.0","2.0","-2.0"
"2",8.0,10.0,11.0,1.0,"false","true","false","false",10.0,3844.0,37592.0,0.229,0.0,"false","8.857143","0.8571430000000007","-1.1428569999999993"
"3",11.0,12.0,13.0,1.0,"false","true","false","false",13.0,3844.0,37423.0,0.261,0.0,"true","11.790476","0.790476","-0.20952400000000004"
"4",7.0,8.0,8.0,0.0,"true",NA,NA,NA,8.0,NA,NA,NA,NA,"true",NA,NA,NA
"5",11.0,14.0,16.0,2.0,"false","true","false","false",16.0,3844.0,36977.0,0.763,0.0,"true","12.466667","1.4666669999999993","-1.5333330000000007"
"6",11.0,12.0,13.0,1.0,"false","true","false","false",13.0,3844.0,37190.0,0.348,0.0,"true","11.533333","0.5333330000000007","-0.4666669999999993"
"7",9.0,10.0,11.0,1.0,"false","true","false","false",11.0,3844.0,37865.0,0.161,0.0,"true","9.694444","0.6944440000000007","-0.3055559999999993"
"8",13.0,14.0,18.0,4.0,"false","true","false","false",15.0,3844.0,37453.0,0.305,0.0,"false","13.678571","0.6785709999999998","-0.3214290000000002"
"9",11.0,11.0,12.0,1.0,"false","true","false","false",12.0,3844.0,37815.0,0.347,0.0,"true","11.1","0.09999999999999964","0.09999999999999964"
"10",8.0,10.0,10.0,0.0,"true",NA,NA,NA,10.0,NA,NA,NA,NA,"true",NA,NA,NA
"11",8.0,9.0,10.0,1.0,"false","true","false","false",9.0,3844.0,38076.0,0.123,0.0,"false","8.541667","0.5416670000000003","-0.45833299999999966"
"12",8.0,11.0,11.0,0.0,"true",NA,NA,NA,11.0,NA,NA,NA,NA,"true",NA,NA,NA
"13",9.0,9.0,9.0,0.0,"true",NA,NA,NA,9.0,NA,NA,NA,NA,"true",NA,NA,NA
"14",9.0,14.0,14.0,0.0,"true",NA,NA,NA,14.0,NA,NA,NA,NA,"true",NA,NA,NA
"15",12.0,13.0,17.0,4.0,"false","true","false","false",15.0,3844.0,37363.0,0.374,0.0,"false","12.619048","0.6190479999999994","-0.3809520000000006"
"16",8.0,12.0,13.0,1.0,"false","true","false","false",13.0,3844.0,37332.0,0.381,0.0,"true","10.245671","2.2456709999999998","-1.7543290000000002"
"17",12.0,15.0,17.0,2.0,"false","true","false","false",17.0,3844.0,37238.0,0.51,0.0,"true","13.448052","1.4480520000000006","-1.5519479999999994"
"18",11.0,11.0,12.0,1.0,"false","true","false","false",12.0,3844.0,37717.0,0.297,0.0,"true","11.166667","0.16666700000000034","0.16666700000000034"
"19",10.0,13.0,16.0,3.0,"false","true","false","false",14.0,3844.0,37385.0,0.596,0.0,"false","11.388889","1.3888890000000007","-1.6111109999999993"
"20",12.0,14.0,14.0,0.0,"true",NA,NA,NA,14.0,NA,NA,NA,NA,"true",NA,NA,NA
"21",11.0,15.0,17.0,2.0,"false","true","false","false",15.0,3844.0,36998.0,0.496,0.0,"false","12.573504","1.5735039999999998","-2.426496"
"22",12.0,14.0,16.0,2.0,"false","true","false","false",15.0,3844.0,37178.0,1.152,0.0,"false","12.838828","0.8388279999999995","-1.1611720000000005"
"23",11.0,15.0,16.0,1.0,"false","true","false","false",15.0,3844.0,37200.0,0.33,0.0,"false","12.810591","1.8105910000000005","-2.1894089999999995"
"24",10.0,15.0,17.0,2.0,"false","true","false","false",16.0,3844.0,37179.0,0.651,0.0,"false","12.0","2.0","-3.0"
"25",10.0,11.0,11.0,0.0,"true",NA,NA,NA,11.0,NA,NA,NA,NA,"true",NA,NA,NA
"26",11.0,12.0,14.0,2.0,"false","true","false","false",14.0,3844.0,37145.0,0.585,0.0,"true","11.977124","0.9771239999999999","-0.02287600000000012"
"27",8.0,10.0,10.0,0.0,"true",NA,NA,NA,10.0,NA,NA,NA,NA,"true",NA,NA,NA
"28",8.0,8.0,10.0,2.0,"false","true","false","false",9.0,3844.0,37967.0,0.135,0.0,"false","8.3","0.3000000000000007","0.3000000000000007"
"29",11.0,13.0,13.0,0.0,"true",NA,NA,NA,13.0,NA,NA,NA,NA,"true",NA,NA,NA
"30",14.0,16.0,19.0,3.0,"false","true","false","false",17.0,3844.0,36859.0,0.633,0.0,"false","15.037037","1.0370369999999998","-0.9629630000000002"
"31",13.0,13.0,13.0,0.0,"true",NA,NA,NA,13.0,NA,NA,NA,NA,"true",NA,NA,NA
"32",9.0,9.0,10.0,1.0,"false","true","false","false",10.0,3844.0,38100.0,0.191,0.0,"true","9.285714","0.28571400000000047","0.28571400000000047"
"33",10.0,12.0,15.0,3.0,"false","true","false","false",13.0,3844.0,37650.0,0.286,0.0,"false","11.039556","1.0395559999999993","-0.9604440000000007"
"34",12.0,15.0,16.0,1.0,"false","true","false","false",16.0,3844.0,37138.0,0.288,0.0,"true","13.585714","1.5857139999999994","-1.4142860000000006"
"35",10.0,14.0,15.0,1.0,"false","true","false","false",15.0,3844.0,37209.0,0.513,0.0,"true","11.425641","1.4256410000000006","-2.5743589999999994"
"36",7.0,9.0,13.0,4.0,"false","true","false","false",11.0,3844.0,37617.0,0.219,0.0,"false","8.596036","1.5960359999999998","-0.4039640000000002"
"37",11.0,11.0,16.0,5.0,"false","true","false","false",14.0,3844.0,37061.0,1.61,0.0,"false","11.931266","0.9312660000000008","0.9312660000000008"
"38",11.0,13.0,14.0,1.0,"false","true","false","false",14.0,3844.0,37658.0,0.239,0.0,"true","11.916667","0.9166670000000003","-1.0833329999999997"
"39",11.0,13.0,15.0,2.0,"false","true","false","false",14.0,3844.0,37374.0,0.508,0.0,"false","11.795198","0.7951979999999992","-1.2048020000000008"
"40",8.0,11.0,11.0,0.0,"true",NA,NA,NA,11.0,NA,NA,NA,NA,"true",NA,NA,NA
