"Instance","Blocking","Lower_Bound","Upper_Bound","Gap","Trivial_Instance","Opt_Solved","Timed_Out","Memory_Out","Opt_Value","Num_Variables","Num_Constraints","Solving_Time","Nodes_Iterations","UB_Opt","LP_Relax","LP_Diff_Blocking","LP_Diff_LB"
"Average",7.2,8.274999999999999,8.45,0.17500000000000002,"36","4","0","0",8.4,2995.0,30303.25,0.40875,0.0,"38","9.44734","0.6973400000000001","-0.8026599999999999"
"1",8.0,9.0,11.0,2.0,"false","true","false","false",11.0,2995.0,30315.0,0.397,0.0,"true","8.709821","0.7098209999999998","-0.2901790000000002"
"2",7.0,7.0,7.0,0.0,"true",NA,NA,NA,7.0,NA,NA,NA,NA,"true",NA,NA,NA
"3",7.0,11.0,11.0,0.0,"true",NA,NA,NA,11.0,NA,NA,NA,NA,"true",NA,NA,NA
"4",6.0,7.0,7.0,0.0,"true",NA,NA,NA,7.0,NA,NA,NA,NA,"true",NA,NA,NA
"5",4.0,4.0,4.0,0.0,"true",NA,NA,NA,4.0,NA,NA,NA,NA,"true",NA,NA,NA
"6",9.0,10.0,10.0,0.0,"true",NA,NA,NA,10.0,NA,NA,NA,NA,"true",NA,NA,NA
"7",10.0,11.0,11.0,0.0,"true",NA,NA,NA,11.0,NA,NA,NA,NA,"true",NA,NA,NA
"8",9.0,9.0,9.0,0.0,"true",NA,NA,NA,9.0,NA,NA,NA,NA,"true",NA,NA,NA
"9",8.0,9.0,9.0,0.0,"true",NA,NA,NA,9.0,NA,NA,NA,NA,"true",NA,NA,NA
"10",6.0,7.0,7.0,0.0,"true",NA,NA,NA,7.0,NA,NA,NA,NA,"true",NA,NA,NA
"11",3.0,3.0,3.0,0.0,"true",NA,NA,NA,3.0,NA,NA,NA,NA,"true",NA,NA,NA
"12",8.0,10.0,10.0,0.0,"true",NA,NA,NA,10.0,NA,NA,NA,NA,"true",NA,NA,NA
"13",8.0,8.0,8.0,0.0,"true",NA,NA,NA,8.0,NA,NA,NA,NA,"true",NA,NA,NA
"14",7.0,8.0,8.0,0.0,"true",NA,NA,NA,8.0,NA,NA,NA,NA,"true",NA,NA,NA
"15",7.0,9.0,9.0,0.0,"true",NA,NA,NA,9.0,NA,NA,NA,NA,"true",NA,NA,NA
"16",8.0,10.0,10.0,0.0,"true",NA,NA,NA,10.0,NA,NA,NA,NA,"true",NA,NA,NA
"17",10.0,11.0,11.0,0.0,"true",NA,NA,NA,11.0,NA,NA,NA,NA,"true",NA,NA,NA
"18",5.0,6.0,6.0,0.0,"true",NA,NA,NA,6.0,NA,NA,NA,NA,"true",NA,NA,NA
"19",9.0,10.0,10.0,0.0,"true",NA,NA,NA,10.0,NA,NA,NA,NA,"true",NA,NA,NA
"20",7.0,7.0,7.0,0.0,"true",NA,NA,NA,7.0,NA,NA,NA,NA,"true",NA,NA,NA
"21",9.0,10.0,11.0,1.0,"false","true","false","false",10.0,2995.0,30663.0,0.163,0.0,"false","9.28125","0.28125","-0.71875"
"22",8.0,10.0,10.0,0.0,"true",NA,NA,NA,10.0,NA,NA,NA,NA,"true",NA,NA,NA
"23",9.0,11.0,11.0,0.0,"true",NA,NA,NA,11.0,NA,NA,NA,NA,"true",NA,NA,NA
"24",9.0,10.0,10.0,0.0,"true",NA,NA,NA,10.0,NA,NA,NA,NA,"true",NA,NA,NA
"25",7.0,7.0,7.0,0.0,"true",NA,NA,NA,7.0,NA,NA,NA,NA,"true",NA,NA,NA
"26",10.0,12.0,15.0,3.0,"false","true","false","false",14.0,2995.0,29966.0,0.72,0.0,"false","10.957143","0.9571430000000003","-1.0428569999999997"
"27",9.0,9.0,9.0,0.0,"true",NA,NA,NA,9.0,NA,NA,NA,NA,"true",NA,NA,NA
"28",4.0,5.0,5.0,0.0,"true",NA,NA,NA,5.0,NA,NA,NA,NA,"true",NA,NA,NA
"29",6.0,8.0,8.0,0.0,"true",NA,NA,NA,8.0,NA,NA,NA,NA,"true",NA,NA,NA
"30",6.0,7.0,7.0,0.0,"true",NA,NA,NA,7.0,NA,NA,NA,NA,"true",NA,NA,NA
"31",8.0,9.0,9.0,0.0,"true",NA,NA,NA,9.0,NA,NA,NA,NA,"true",NA,NA,NA
"32",6.0,7.0,7.0,0.0,"true",NA,NA,NA,7.0,NA,NA,NA,NA,"true",NA,NA,NA
"33",7.0,7.0,7.0,0.0,"true",NA,NA,NA,7.0,NA,NA,NA,NA,"true",NA,NA,NA
"34",6.0,7.0,7.0,0.0,"true",NA,NA,NA,7.0,NA,NA,NA,NA,"true",NA,NA,NA
"35",4.0,4.0,4.0,0.0,"true",NA,NA,NA,4.0,NA,NA,NA,NA,"true",NA,NA,NA
"36",6.0,8.0,8.0,0.0,"true",NA,NA,NA,8.0,NA,NA,NA,NA,"true",NA,NA,NA
"37",8.0,10.0,11.0,1.0,"false","true","false","false",11.0,2995.0,30269.0,0.355,0.0,"true","8.841146","0.8411460000000002","-1.1588539999999998"
"38",7.0,9.0,9.0,0.0,"true",NA,NA,NA,9.0,NA,NA,NA,NA,"true",NA,NA,NA
"39",7.0,7.0,7.0,0.0,"true",NA,NA,NA,7.0,NA,NA,NA,NA,"true",NA,NA,NA
"40",6.0,8.0,8.0,0.0,"true",NA,NA,NA,8.0,NA,NA,NA,NA,"true",NA,NA,NA
